,author,title,sentence,sentence_nr,words,kind
13448,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",For the last time drop it Dan says I in a whisper Billy Fish here says that there will be a row  A row among my people says Dravot,9191,Billy Fish,person
13449,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",For the last time drop it Dan says I in a whisper Billy Fish here says that there will be a row  A row among my people says Dravot,9191,Billy Fish,person
13452,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Wheres the girl says he with a voice as loud as the braying of a jackass,9194,Jack ,person
13457,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish saunters round and gets as close to Daniel as he could and,9199,Dan Dravot,person
13458,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish saunters round and gets as close to Daniel as he could and,9199,Dan Dravot,person
13459,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish saunters round and gets as close to Daniel as he could and,9199,Billy Fish,person
13460,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish saunters round and gets as close to Daniel as he could and,9199,Billy Fish,person
13462,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",I was next to Dravot and behind me was twenty men of the regular Army,9201,Dan Dravot,person
13466,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Shell do said Dan looking her over,9203,Dan Dravot,person
13471,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",She shuts her eyes gives a bit of a squeak and down goes her face in the side of Dans flamingred beard,9207,Dan Dravot,person
13476,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish and two of his matchlock men catches hold of Dan by the shoulders and drags him into the Bashkai lot while the priests howls in their lingo Neither God nor Devil but a man I was all taken aback for a priest cut at me in front and the Army behind began firing into the Bashkai men,9209,Dan Dravot,person
13477,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish and two of his matchlock men catches hold of Dan by the shoulders and drags him into the Bashkai lot while the priests howls in their lingo Neither God nor Devil but a man I was all taken aback for a priest cut at me in front and the Army behind began firing into the Bashkai men,9209,Billy Fish,person
13478,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish and two of his matchlock men catches hold of Dan by the shoulders and drags him into the Bashkai lot while the priests howls in their lingo Neither God nor Devil but a man I was all taken aback for a priest cut at me in front and the Army behind began firing into the Bashkai men,9209,Bashkai,location
13479,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish and two of his matchlock men catches hold of Dan by the shoulders and drags him into the Bashkai lot while the priests howls in their lingo Neither God nor Devil but a man I was all taken aback for a priest cut at me in front and the Army behind began firing into the Bashkai men,9209,Billy Fish,person
13480,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",God Amighty says Dan what is the meaning o this  Come back,9210,Dan Dravot,person
13481,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Come away says Billy Fish,9211,Billy Fish,person
13482,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Come away says Billy Fish,9211,Billy Fish,person
13484,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Well break for Bashkai if we can  I tried to give some sort of orders to my menthe men o the regular Armybut it was no use so I fired into the brown of em with an English Martini and drilled three beggars in a line,9213,Martin,person
13485,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Well break for Bashkai if we can  I tried to give some sort of orders to my menthe men o the regular Armybut it was no use so I fired into the brown of em with an English Martini and drilled three beggars in a line,9213,Bashkai,location
13489,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The valley was full of shouting howling creatures and every soul was shrieking Not a God nor a Devil but only a man The Bashkai troops stuck to Billy Fish all they were worth but their matchlocks wasnt half as good as the Kabul breechloaders and four of them dropped,9214,Kabul,location
13493,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The valley was full of shouting howling creatures and every soul was shrieking Not a God nor a Devil but only a man The Bashkai troops stuck to Billy Fish all they were worth but their matchlocks wasnt half as good as the Kabul breechloaders and four of them dropped,9214,Billy Fish,person
13494,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The valley was full of shouting howling creatures and every soul was shrieking Not a God nor a Devil but only a man The Bashkai troops stuck to Billy Fish all they were worth but their matchlocks wasnt half as good as the Kabul breechloaders and four of them dropped,9214,Bashkai,location
13495,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The valley was full of shouting howling creatures and every soul was shrieking Not a God nor a Devil but only a man The Bashkai troops stuck to Billy Fish all they were worth but their matchlocks wasnt half as good as the Kabul breechloaders and four of them dropped,9214,Billy Fish,person
13496,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Dan was bellowing like a bull for he was very wrathy and Billy Fish had a hard job to prevent him running out at the crowd,9215,Dan Dravot,person
13497,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Dan was bellowing like a bull for he was very wrathy and Billy Fish had a hard job to prevent him running out at the crowd,9215,Billy Fish,person
13498,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Dan was bellowing like a bull for he was very wrathy and Billy Fish had a hard job to prevent him running out at the crowd,9215,Billy Fish,person
13499,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",We cant stand says Billy Fish,9216,Billy Fish,person
13500,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",We cant stand says Billy Fish,9216,Billy Fish,person
13503,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The matchlockmen ran and we went down the valley in spite of Dravot,9219,Dan Dravot,person
13507,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The priests rolled great stones on us and the regular Army fired hard and there wasnt more than six men not counting Dan Billy Fish and Me that came down to the bottom of the valley alive,9221,Dan Dravot,person
13508,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The priests rolled great stones on us and the regular Army fired hard and there wasnt more than six men not counting Dan Billy Fish and Me that came down to the bottom of the valley alive,9221,Billy Fish,person
13509,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The priests rolled great stones on us and the regular Army fired hard and there wasnt more than six men not counting Dan Billy Fish and Me that came down to the bottom of the valley alive,9221,Billy Fish,person
13511,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Come awayfor Gords sake come away says Billy Fish,9223,Billy Fish,person
13512,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Come awayfor Gords sake come away says Billy Fish,9223,Billy Fish,person
13513,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Theyll send runners out to all the villages before ever we get to Bashkai,9224,Bashkai,location
13515,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",My own notion is that Dan began to go mad in his head from that hour,9226,Dan Dravot,person
13520,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",An Emperor am I says Daniel and next year I shall be a Knight of the Queen  All right Dan says I but come along now while theres time  Its your fault says he for not looking after your Army better,9229,Dan Dravot,person
13522,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",An Emperor am I says Daniel and next year I shall be a Knight of the Queen  All right Dan says I but come along now while theres time  Its your fault says he for not looking after your Army better,9229,Dan Dravot,person
13526,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Im sorry Dan says I but theres no accounting for natives,9233,Dan Dravot,person
13528,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Maybe well make something out of it yet when weve got to Bashkai  Lets get to Bashkai then says Dan and by God when I come back here again Ill sweep the valley so there isnt a bug in a blanket left  We walked all that day and all that night Dan was stumping up and down on the snow chewing his beard and muttering to himself,9235,Dan Dravot,person
13529,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Maybe well make something out of it yet when weve got to Bashkai  Lets get to Bashkai then says Dan and by God when I come back here again Ill sweep the valley so there isnt a bug in a blanket left  We walked all that day and all that night Dan was stumping up and down on the snow chewing his beard and muttering to himself,9235,Bashkai,location
13530,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Theres no hope o getting clear said Billy Fish,9236,Billy Fish,person
13531,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Theres no hope o getting clear said Billy Fish,9236,Billy Fish,person
13534,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Im a dead man says Billy Fish and he throws himself down on the snow and begins to pray to his Gods,9239,Billy Fish,person
13535,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Im a dead man says Billy Fish and he throws himself down on the snow and begins to pray to his Gods,9239,Billy Fish,person
13537,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The six Bashkai men looked at Billy Fish hungryway as if they wanted to ask something but they never said a word,9241,Billy Fish,person
13538,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The six Bashkai men looked at Billy Fish hungryway as if they wanted to ask something but they never said a word,9241,Bashkai,location
13539,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The six Bashkai men looked at Billy Fish hungryway as if they wanted to ask something but they never said a word,9241,Billy Fish,person
13541,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The runners have been very quick says Billy Fish with a little bit of a laugh,9243,Billy Fish,person
13542,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The runners have been very quick says Billy Fish with a little bit of a laugh,9243,Billy Fish,person
13543,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",They are waiting for us  Three or four men began to fire from the enemys side and a chance shot took Daniel in the calf of the leg,9244,Dan Dravot,person
13544,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",They are waiting for us  Three or four men began to fire from the enemys side and a chance shot took Daniel in the calf of the leg,9244,Dan Dravot,person
13548,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Get back Billy Fish and take your men away youve done what you could and now cut for it,9248,Billy Fish,person
13549,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Get back Billy Fish and take your men away youve done what you could and now cut for it,9248,Billy Fish,person
13550,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Carnehan says he shake hands with me and go along with Billy,9249,Billy Fish,person
13555,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Me the King  Go says I Go to Hell Dan,9253,Dan Dravot,person
13558,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish you clear out and we two will meet those folk  Im a Chief says Billy Fish quite quiet,9255,Billy Fish,person
13559,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Billy Fish you clear out and we two will meet those folk  Im a Chief says Billy Fish quite quiet,9255,Billy Fish,person
13561,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",My men can go  The Bashkai fellows didnt wait for a second word but ran off and Dan and Me and Billy Fish walked across to where the drums were drumming and the horns were horning,9257,Dan Dravot,person
13562,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",My men can go  The Bashkai fellows didnt wait for a second word but ran off and Dan and Me and Billy Fish walked across to where the drums were drumming and the horns were horning,9257,Billy Fish,person
13563,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",My men can go  The Bashkai fellows didnt wait for a second word but ran off and Dan and Me and Billy Fish walked across to where the drums were drumming and the horns were horning,9257,Bashkai,location
13564,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",My men can go  The Bashkai fellows didnt wait for a second word but ran off and Dan and Me and Billy Fish walked across to where the drums were drumming and the horns were horning,9257,Billy Fish,person
13581,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",There was a man called Billy Fish a good friend of us all and they cut his throat Sir then and there like a pig and the King kicks up the bloody snow and says Weve had a dashed fine run for our money,9271,Billy Fish,person
13582,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",There was a man called Billy Fish a good friend of us all and they cut his throat Sir then and there like a pig and the King kicks up the bloody snow and says Weve had a dashed fine run for our money,9271,Billy Fish,person
13599,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Ive brought you to this Peachey says he Brought you out of your happy life to be killed in Kafiristan where you was late CommanderinChief of the Emperors forces,9284,Kafiristan,person
13600,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Ive brought you to this Peachey says he Brought you out of your happy life to be killed in Kafiristan where you was late CommanderinChief of the Emperors forces,9284,Kafiristan,location
13602,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Say you forgive me Peachey I do says Peachey Fully and freely do I forgive you Dan Shake hands Peachey says he Im going now Out he goes looking neither right nor left and when he was plumb in the middle of those dizzy dancing ropes Cut you beggars he shouts and they cut and old Dan fell turning round and round and round twenty thousand miles for he took half an hour to fall till he struck the water and I could see his body caught on a rock with the gold crown close beside,9285,Dan Dravot,person
13609,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",They was cruel enough to feed him up in the temple because they said he was more of a God than old Daniel that was a man,9291,Dan Dravot,person
13610,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",They was cruel enough to feed him up in the temple because they said he was more of a God than old Daniel that was a man,9291,Dan Dravot,person
13611,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Then they turned him out on the snow and told him to go home and Peachey came home in about a year begging along the roads quite safe for Daniel Dravot he walked before and said Come along Peachey,9292,Dan Dravot,person
13612,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Then they turned him out on the snow and told him to go home and Peachey came home in about a year begging along the roads quite safe for Daniel Dravot he walked before and said Come along Peachey,9292,Dan Dravot,person
13613,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Then they turned him out on the snow and told him to go home and Peachey came home in about a year begging along the roads quite safe for Daniel Dravot he walked before and said Come along Peachey,9292,Dan Dravot,person
13614,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Then they turned him out on the snow and told him to go home and Peachey came home in about a year begging along the roads quite safe for Daniel Dravot he walked before and said Come along Peachey,9292,Dan Dravot,person
13616,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The mountains they danced at night and the mountains they tried to fall on Peacheys head but Dan he held up his hand and Peachey came along bent double,9294,Dan Dravot,person
13617,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He never let go of Dans hand and he never let go of Dans head,9295,Dan Dravot,person
13619,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",You know Dravot Sir,9297,Dan Dravot,person
13620,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",You knew Right Worshipful Brother Dravot,9298,Dan Dravot,person
13622,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He fumbled in the mass of rags round his bent waist brought out a black horsehair bag embroidered with silver thread and shook therefrom on to my tablethe dried withered head of Daniel Dravot,9300,Dan Dravot,person
13623,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He fumbled in the mass of rags round his bent waist brought out a black horsehair bag embroidered with silver thread and shook therefrom on to my tablethe dried withered head of Daniel Dravot,9300,Dan Dravot,person
13624,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He fumbled in the mass of rags round his bent waist brought out a black horsehair bag embroidered with silver thread and shook therefrom on to my tablethe dried withered head of Daniel Dravot,9300,Dan Dravot,person
13625,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He fumbled in the mass of rags round his bent waist brought out a black horsehair bag embroidered with silver thread and shook therefrom on to my tablethe dried withered head of Daniel Dravot,9300,Dan Dravot,person
13629,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",You beold now said Carnehan the Emperor in his abit as he livedthe King of Kafiristan with his crown upon his head,9302,Kafiristan,person
13631,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",You beold now said Carnehan the Emperor in his abit as he livedthe King of Kafiristan with his crown upon his head,9302,Kafiristan,location
13632,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Poor old Daniel that was a monarch once,9303,Dan Dravot,person
13633,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Poor old Daniel that was a monarch once,9303,Dan Dravot,person
13661,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",E Henley,9328,Henley,person
13662,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",His name was Charlie Mears he was the only son of his mother who was a widow and he lived in the north of London coming into the City every day to work in a bank,9329,London,location
13663,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",His name was Charlie Mears he was the only son of his mother who was a widow and he lived in the north of London coming into the City every day to work in a bank,9329,Charlie,person
13664,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",His name was Charlie Mears he was the only son of his mother who was a widow and he lived in the north of London coming into the City every day to work in a bank,9329,Charlie,person
13666,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",I met him in a public billiardsaloon where the marker called him by his given name and he called the marker Bullseyes,9331,Mark,person
13669,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charley explained a little nervously that he had only come to the place to look on and since looking on at games of skill is not a cheap amusement for the young I suggested that Charlie should go back to his mother,9332,Charlie,person
13673,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He would call on me sometimes in the evenings instead of running about London with his fellowclerks and before long speaking of himself as a young man must he told me of his aspirations which were all literary,9334,London,location
13676,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",It was my fate to sit still while Charlie read me poems of many hundred lines and bulky fragments of plays that would surely shake the world,9336,Charlie,person
13679,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlie had never fallen in love but was anxious to do so on the first opportunity he believed in all things good and all things honorable but at the same time was curiously careful to let me see that he knew his way about the world as befitted a bank clerk on twentyfive shillings a week,9338,Charlie,person
13695,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Then Charlie sighed and tugged his hair,9354,Charlie,person
13711,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlie youre suffering from an alarming disease afflicting a numerous class,9369,Charlie,person
13718,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlie told and in the telling there was everything that his ignorance had so carefully prevented from escaping into the written word,9375,Charlie,person
13722,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",But Charlie babbled on serenely interrupting the current of pure fancy with samples of horrible sentences that he purposed to use,9379,Charlie,person
13730,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",I should be proud said Charlie promptly,9387,Charlie,person
13733,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",And Charlie did all these things,9390,Charlie,person
13734,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Still it was necessary to salve my conscience before I possessed myself of Charlies thoughts,9391,Charlie,person
13737,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlie became a bankclerk at once,9394,Charlie,person
13746,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Business is business and you may be sure I shouldnt give that price unless  Oh if you put it  that  way said Charlie visibly moved by the thought of the books,9402,Charlie,person
13751,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlies eyes opened a little,9406,Charlie,person
13784,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He went away shortly afterward to deal with booksellers and I wondered how a bank clerk aged twenty could put into my hands with a profligate abundance of detail all given with absolute assurance the story of extravagant and bloodthirsty adventure riot piracy and death in unnamed seas,9438,Dan Dravot,person
13787,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He had led his hero a desperate dance through revolt against the overseas to command of a ship of his own and ultimate establishment of a kingdom on an island somewhere in the sea you know and delighted with my paltry five pounds had gone out to buy the notions of other men that these might teach him how to write,9439,Dan Dravot,person
13797,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Only those who brave its dangers     Comprehend its mystery,9447,Dan Dravot,person
13799,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",By gum    Only those who brave its dangers     Comprehend its mystery  he repeated twenty times walking up and down the room and forgetting me,9448,Dan Dravot,person
13803,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",And this listen    I remember the black wharves and the ships     And the seatides tossing free   And the Spanish sailors with bearded lips   And the beauty and mystery of the ships     And the magic of the sea  I havent braved any dangers but I feel as if I knew all about it,9451,Dan Dravot,person
13806,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",When I was a little chap I went to Brighton once we used to live in Coventry though before we came to London,9454,London,location
13807,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",When I was a little chap I went to Brighton once we used to live in Coventry though before we came to London,9454,Brighton,location
13830,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlie flushed a little,9472,Charlie,person
13859,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Then but there seemed to be no interval between quitting my rooms and finding myself arguing with a policeman outside a door marked Private in a corridor of the British Museum,9499,Mark,person
13865,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He read slowly from the paper Pollock Erckman Tauchnitz Hennikerfour names familiar to me,9505,Pollock,person
13873,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Small wonder that his dreaming had seemed real to Charlie,9513,Charlie,person
13876,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",The Fates that are so careful to shut the doors of each successive life behind us had in this case been neglectful and Charlie was looking though that he did not know where never man had been permitted to look with full knowledge since Time began,9514,Charlie,person
13879,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He would supply mehere I capered among the dumb gods of Egypt and laughed in their battered faceswith material to make my tale sureso sure that the world would hail it as an impudent and vamped fiction,9516,Egypt,location
13883,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Therefore I danced again among the gods till a policeman saw me and took steps in my direction,9519,Dan Dravot,person
13884,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",It remained now only to encourage Charlie to talk and here there was no difficulty,9520,Charlie,person
13886,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He came to me time after time as useless as a surcharged phonographdrunk on Byron Shelley or Keats,9522,Byron,person
13887,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He came to me time after time as useless as a surcharged phonographdrunk on Byron Shelley or Keats,9522,Shelley,person
13892,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He misconstrued both into respect for the present soul of Charlie Mears to whom life was as new as it was to Adam and interest in his readings and stretched my patience to breaking point by reciting poetrynot his own now but that of others,9524,Charlie,person
13893,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He misconstrued both into respect for the present soul of Charlie Mears to whom life was as new as it was to Adam and interest in his readings and stretched my patience to breaking point by reciting poetrynot his own now but that of others,9524,Charlie,person
13894,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",He misconstrued both into respect for the present soul of Charlie Mears to whom life was as new as it was to Adam and interest in his readings and stretched my patience to breaking point by reciting poetrynot his own now but that of others,9524,Adam,person
13896,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",I blasphemed the mightiest names of song because they had drawn Charlie from the path of direct narrative and would later spur him to imitate them but I choked down my impatience until the first flood of enthusiasm should have spent itself and the boy returned to his dreams,9526,Charlie,person
13906,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",I could indeed make up things for myself did I only know what Charlie did not know that he knew,9535,Charlie,person
13909,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Again I cursed all the poets of England,9538,England,location
13916,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Only when the talk turned on Longfellow were the jarring crosscurrents dumb and I knew that Charlie was speaking the truth as he remembered it,9543,Charlie,person
13923,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Thats better than Byron a little I ventured,9548,Byron,person
13948,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlies eyes were alive and alight,9572,Charlie,person
13968,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",One minute Charlie,9586,Charlie,person
13974,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",It looked just like a banjostring drawn tight and it seemed to stay there for years said Charlie,9590,Charlie,person
13978,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",But Charlie the bankclerk on twentyfive shillings a week he who had never been out of sight of a London omnibus knew it all,9594,London,location
13979,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",But Charlie the bankclerk on twentyfive shillings a week he who had never been out of sight of a London omnibus knew it all,9594,Charlie,person
13990,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlie shook his head mournfully,9603,Charlie,person
14003,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",But you were all drowned together Charlie werent you  I cant make that fit quite he said with a puzzled look,9616,Charlie,person
14012,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",I did not press him further but to satisfy myself that he lay in ignorance of the workings of his own mind deliberately introduced him to Mortimer Collinss Transmigration and gave him a sketch of the plot before he opened the pages,9622,Mortimer Collins,person
14016,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",I dont understand his nonsense about the Red Planet Mars and the King and the rest of it,9624,Mars,location
14021,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlie I asked when the rowers on the galleys mutinied how did they kill their overseers,9629,Charlie,person
14033,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Charlie did not raise his eyes,9641,Charlie,person
14041,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",I was almost whispering that the sentence might come gentle to whichever section of Charlies brain was working on my behalf,9647,Charlie,person
14056,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Hah  Charlie I pleaded if youll only be sensible for a minute or two,9660,Charlie,person
14063,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Conceive yourself at the door of the worlds treasurehouse guarded by a childan idle irresponsible child playing knuckleboneson whose favor depends the gift of the key and you will imagine onehalf my torment,9667,Dan Dravot,person
14065,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",Till that evening Charlie had spoken nothing that might not lie within the experiences of a Greek galleyslave,9668,Charlie,person
14068,"Kipling, Rudyard","The Phantom 'Rickshaw, and Other Ghost Stories",But now or there was no virtue in books he had talked of some desperate adventure of the Vikings of Thorfin Karlsefnes sailing to Wineland which is America in the ninth or tenth century,9669,Thorfin,person
